@relation 'GSPCext-weka.filters.unsupervised.attribute.Remove-R6-10,12-13,20,26-29,31-35-weka.filters.unsupervised.instance.RemoveRange-R1-19396'

@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric
@attribute Volume numeric
@attribute Return numeric
@attribute '\%K14' numeric
@attribute '\%D3' numeric
@attribute 'Slow\%D3' numeric
@attribute Momentum numeric
@attribute ROC numeric
@attribute '\%R' numeric
@attribute MA5 numeric
@attribute MA10 numeric
@attribute Disparity5 numeric
@attribute Disparity10 numeric
@attribute OSCP numeric
@attribute CCI numeric
@attribute RSI numeric

@data
1172.790039,1178.609985,1167.719971,1176.119995,2079770000,0.002728,26.531543,26.826022,27.053299,-13.530029,98.862688,73.468457,1175.280005,1175.012012,100.071471,100.094295,-0.022802,-66.666667,43.046567
1176.119995,1183.560059,1176.119995,1181.390015,1870800000,0.004481,51.967244,32.73338,29.836848,-2.390014,99.798103,48.032756,1178.486011,1174.77301,100.246418,100.563258,-0.315065,66.666667,46.689441
1181.390015,1189.339966,1181.390015,1184.069946,1797400000,0.002268,68.874432,49.124406,36.227936,12.359985,101.054867,31.125568,1179.017993,1176.009009,100.428488,100.685449,-0.255211,66.666667,48.48585
1184.069946,1191.880005,1183.810059,1191.140015,1900620000,0.005971,97.030881,72.624186,51.493991,18.609986,101.587165,2.969119,1181.128003,1177.870007,100.847665,101.126611,-0.275838,66.666667,52.977429
1191.140015,1191.75,1181.130005,1181.199951,1661330000,-0.008345,62.114119,76.006477,65.918356,9.779907,100.834876,37.885881,1182.783984,1178.847998,99.866076,100.199513,-0.332773,66.666667,46.831653
1181.199951,1184.069946,1178.689941,1181.209961,1525310000,0.000008,62.149628,73.764876,74.131846,6.929932,100.590143,37.850372,1183.801978,1179.540991,99.781043,100.141493,-0.359941,66.666667,46.838397
1181.209961,1190.170044,1170.849976,1187.76001,1979830000,0.005545,85.384939,69.882896,73.218083,22.400025,101.922155,14.615061,1185.075977,1181.780994,100.226486,100.505933,-0.27804,66.666667,51.200598
1187.76001,1187.76001,1171.400024,1173.790039,2049740000,-0.011762,35.828574,61.121047,68.256273,-7.619995,99.355008,64.171426,1183.019995,1181.018994,99.219797,99.387905,-0.169143,-66.666667,43.118795
1173.790039,1174.670044,1161.699951,1162.050049,2355040000,-0.010002,1.160031,40.791181,57.265041,-18.539917,98.429606,98.839969,1177.202002,1179.165002,98.712884,98.548553,0.166751,-66.666667,37.673029
1162.050049,1162.050049,1141.920044,1142.619995,2689960000,-0.01672,1.401024,12.796543,38.236257,-30.300049,97.4167,98.598976,1169.486011,1176.134998,97.70275,97.150412,0.568539,-66.666667,30.693904
1142.619995,1148.920044,1139.800049,1145.97998,2180670000,0.002941,11.866237,4.809097,19.465607,-30.140015,97.437335,88.133763,1162.440015,1173.120996,98.58401,97.686427,0.918842,-66.666667,33.043192
1145.97998,1154.670044,1145.97998,1152.780029,2142700000,0.005934,24.923178,12.730146,10.111929,-28.609986,97.578278,75.076822,1155.444018,1170.259998,99.76944,98.506318,1.282276,-66.666667,37.637031
1152.780029,1155.5,1136.150024,1137.5,2217050000,-0.013255,2.422351,13.070589,10.203277,-46.569946,96.06696,97.577649,1148.186011,1165.603003,99.069314,97.588973,1.516914,-66.666667,32.305152
1137.5,1159.949951,1137.5,1159.949951,2308560000,0.019736,42.705787,23.350439,16.383725,-31.190064,97.381495,57.294213,1147.765991,1162.483997,101.061537,99.782015,1.282318,-66.666667,44.836261
1159.949951,1159.949951,1142.949951,1152.119995,2045880000,-0.00675,28.655978,24.594705,20.338578,-29.079956,97.5381,71.344022,1149.665991,1159.576001,100.213454,99.357006,0.86199,-66.666667,41.974335
1152.119995,1164.050049,1152.119995,1162.099976,1795030000,0.008662,46.563719,39.308495,29.084546,-19.109985,98.382169,53.436281,1152.88999,1157.665002,100.798861,100.383096,0.414178,-66.666667,46.677958
1162.099976,1164.800049,1151.829956,1151.829956,1959740000,-0.008837,28.135542,34.451746,32.784982,-35.930054,96.974974,71.864458,1152.699976,1154.071997,99.924523,99.805728,0.119027,-66.666667,42.860695
1151.73999,1159.869995,1144.420044,1156.380005,2151520000,0.00395,36.384874,37.028045,36.929429,-17.410034,98.516768,63.615126,1156.475977,1152.330994,99.991701,100.351376,-0.358415,-66.666667,45.024864
1156.380005,1156.380005,1143.219971,1143.219971,2182270000,-0.01138,13.087642,25.869353,32.449715,-18.830078,98.379581,86.912358,1153.129981,1150.447986,99.140599,99.371722,-0.232584,-66.666667,40.290396
1143.219971,1156.969971,1139.189941,1156.849976,2362360000,0.011922,38.319038,29.263851,30.720416,14.229981,101.245382,61.680962,1154.075977,1151.870984,100.240365,100.432253,-0.191061,-66.666667,46.622805
1156.849976,1162.869995,1154.709961,1162.160034,1980040000,0.00459,50.397243,33.934641,29.689282,16.180054,101.411897,49.602757,1154.087988,1153.488989,100.699431,100.751723,-0.051902,66.666667,48.870993
1162.160034,1166.890015,1156.709961,1161.170044,2167020000,-0.000852,64.953289,51.22319,38.140561,8.390015,100.727807,35.046711,1155.956006,1154.327991,100.451059,100.59273,-0.140837,66.666667,48.463036
1161.170044,1176.01001,1161.170044,1175.650024,2306480000,0.01247,99.096874,71.482469,52.213433,38.150024,103.353848,0.903126,1159.81001,1158.142993,101.365742,101.511647,-0.143732,66.666667,54.456552
1175.650024,1178.619995,1166.77002,1172.630005,1997100000,-0.002569,85.89594,83.315368,68.673675,12.680054,101.093155,14.10406,1165.692017,1159.410999,100.595182,101.140148,-0.538823,66.666667,53.086949
1172.630005,1177.75,1170.5,1171.349976,1707200000,-0.001092,82.881978,89.291597,81.363145,19.229981,101.669095,17.118022,1168.592017,1161.333997,100.236007,100.862455,-0.621091,66.666667,52.482897
1171.349976,1178.869995,1169.380005,1178.839966,1857020000,0.006394,99.929707,89.569209,87.392058,16.73999,101.440495,0.070293,1171.928003,1163.007996,100.589794,101.361295,-0.76114,66.666667,55.665269
1178.839966,1178.839966,1162.97998,1166.219971,1889660000,-0.010705,69.422225,84.07797,87.646259,14.390015,101.249318,30.577775,1172.937988,1164.446997,99.427249,100.152259,-0.723908,66.666667,49.66777
